,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
0,523,BMA,2000,,2.3126551148640697,1.5,-238.04946696064695,-167.39396453815993,-66.7351041453307,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,524,Weibull_Log-Logistic,2000,-1607.0599230015132,2.104849316117173,1.5,-661.2940983328319,-431.59157190747953,-151.90231344291152,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.08112968737887874
1,524,Weibull_Lomax,2000,-1604.6921902800884,0.9890684556323295,1.5,-364.8587092980079,-251.70501297569584,-99.51139119220336,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.8659106039065623
2,524,Weibull_Inverse-Weibull,2000,-1607.4864405430662,2.641892415345706,1.5,-723.9071025944423,-464.1921070040122,-160.2486718426424,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.052959708714557484
3,524,Inverse-Weibull_Log-Logistic,2000,-1651.9155222162024,0.09633025458947521,1.5,-4772.281510193985,-2685.5888255021614,-766.4223664013568,-171.59349954805944,-127.25263247425696,-54.30793233997974,2.6831229937500287e-21
4,524,Inverse-Weibull_Lomax,2000,-1638.5988271377012,0.0748233163897588,1.5,-821.4185002509033,-536.3664201274515,-196.70707154894183,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.6293251860406756e-15
5,524,Inverse-Weibull_Inverse-Weibull,2000,-1676.800504261488,0.3869411893469396,1.5,-4237.598366687877,-2366.2068988278525,-642.1930901917447,-171.59349954805944,-127.25263247425696,-54.30793233997974,4.180518951539093e-32
0,524,BMA,2000,,1.1671244834896617,1.5,-407.92351806184934,-277.5524078708366,-106.97847902725621,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,525,Weibull_Log-Logistic,2000,-1484.136504112469,4.100396493199174,1.5,-202.7573042779169,-136.14569216196102,-43.738459317293255,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.1808826448649899
1,525,Weibull_Lomax,2000,-1482.7894075480117,2.5086717673323915,1.5,-137.27247032003237,-97.35663973638998,-35.297757031287404,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.6957184234921153
2,525,Weibull_Inverse-Weibull,2000,-1484.5189301087812,4.738706359717301,1.5,-214.35975904068718,-145.66943806188618,-48.4094481587443,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.12339893164289477
