,sim,method,nobs,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true
44,44,best,250,-2711.0428059253095,-1490.1431164175701,-409.74363027694847,-151.23528817018322,-112.48527400129585,-47.509839309988706
44,44,BMA,250,-2995.4122341998404,-1608.096848456903,-425.64156245536356,-151.23528817018322,-112.48527400129585,-47.509839309988706
45,45,true,250,-1308.0222199069635,-742.6357007534249,-190.8430165230844,-151.23528817018322,-112.48527400129585,-47.509839309988706
45,45,best,250,-1284.3123328041738,-713.8733810203189,-183.33436515089474,-151.23528817018322,-112.48527400129585,-47.509839309988706
45,45,BMA,250,-979.9791832796287,-536.110554624682,-117.59016713821636,-151.23528817018322,-112.48527400129585,-47.509839309988706
46,46,true,250,-2020.659598724186,-1132.7834005243135,-306.92400304693956,-151.23528817018322,-112.48527400129585,-47.509839309988706
46,46,best,250,-111.84593498514026,-85.63863972288478,-38.052320112513996,-151.23528817018322,-112.48527400129585,-47.509839309988706
46,46,BMA,250,-170.47674251680294,-126.66559987562606,-50.86402964386102,-151.23528817018322,-112.48527400129585,-47.509839309988706
47,47,true,250,-2339.471560529992,-1333.1868522776647,-370.9052410826307,-151.23528817018322,-112.48527400129585,-47.509839309988706
47,47,best,250,-282.1032943680137,-220.55411779014716,-109.25434049567843,-151.23528817018322,-112.48527400129585,-47.509839309988706
47,47,BMA,250,-498.0918674368117,-321.23197303866897,-117.56703512187386,-151.23528817018322,-112.48527400129585,-47.509839309988706
48,48,true,250,-1463.7386661769563,-853.6145446668289,-247.78008425826982,-151.23528817018322,-112.48527400129585,-47.509839309988706
48,48,best,250,-96.90832142467535,-76.3658620454391,-36.923958973421136,-151.23528817018322,-112.48527400129585,-47.509839309988706
48,48,BMA,250,-143.9714512193899,-107.13286917833398,-47.06565154245137,-151.23528817018322,-112.48527400129585,-47.509839309988706
49,49,true,250,-4410.9867576718225,-2398.6939928717866,-640.5517617050823,-151.23528817018322,-112.48527400129585,-47.509839309988706
49,49,best,250,-3867.586951332671,-2116.944222065231,-570.2476793129039,-151.23528817018322,-112.48527400129585,-47.509839309988706
49,49,BMA,250,-4053.2779438317966,-2188.6274837626866,-571.2877824157723,-151.23528817018322,-112.48527400129585,-47.509839309988706
50,50,true,250,-3782.539461508472,-1998.1753898600343,-484.13371271568246,-151.23528817018322,-112.48527400129585,-47.509839309988706
50,50,best,250,-3335.743658931892,-1768.7618613530976,-457.29937890361833,-151.23528817018322,-112.48527400129585,-47.509839309988706
50,50,BMA,250,-3700.708162422597,-2000.84340139182,-481.4854603450631,-151.23528817018322,-112.48527400129585,-47.509839309988706
51,51,true,250,-2226.5310657552327,-1244.9306560288815,-343.2125857620134,-151.23528817018322,-112.48527400129585,-47.509839309988706
51,51,best,250,-2290.9479159251478,-1306.3022405446243,-358.2643189692611,-151.23528817018322,-112.48527400129585,-47.509839309988706
51,51,BMA,250,-2257.9755340908605,-1246.5663620673552,-317.7251982713436,-151.23528817018322,-112.48527400129585,-47.509839309988706
52,52,true,250,-504.6737821270985,-325.21727394376836,-117.29307215462897,-151.23528817018322,-112.48527400129585,-47.509839309988706
52,52,best,250,-115.23676506531122,-90.77770736226094,-49.16937564613326,-151.23528817018322,-112.48527400129585,-47.509839309988706
52,52,BMA,250,-178.64409560991362,-111.15594024458662,-48.3842074189992,-151.23528817018322,-112.48527400129585,-47.509839309988706
53,53,true,250,-1670.1912405644755,-973.7666514694012,-269.2141548749045,-151.23528817018322,-112.48527400129585,-47.509839309988706
53,53,best,250,-113.90298165853982,-88.11879952150177,-41.4506623931635,-151.23528817018322,-112.48527400129585,-47.509839309988706
53,53,BMA,250,-352.8915696444797,-221.9424716809594,-75.2585759604705,-151.23528817018322,-112.48527400129585,-47.509839309988706
54,54,true,250,-1065.7084284900295,-632.7708183868596,-184.9538747661387,-151.23528817018322,-112.48527400129585,-47.509839309988706
54,54,best,250,-47.256493816339415,-40.3829415120248,-22.230723199324412,-151.23528817018322,-112.48527400129585,-47.509839309988706
54,54,BMA,250,-117.61105091363527,-89.10130636509764,-39.662677401492886,-151.23528817018322,-112.48527400129585,-47.509839309988706
